Temperature - (Celsius), Year, Statistics, Country, ISO3
19.0231, 1905, Sep Average, Afghanistan, AFG
14.7307, 1905, Oct Average, Afghanistan, AFG
7.64407, 1905, Nov Average, Afghanistan, AFG
1.88543, 1905, Dec Average, Afghanistan, AFG
-1.0413, 1906, Jan Average, Afghanistan, AFG
0.54912, 1906, Feb Average, Afghanistan, AFG
6.80418, 1906, Mar Average, Afghanistan, AFG
10.6162, 1906, Apr Average, Afghanistan, AFG
18.6138, 1906, May Average, Afghanistan, AFG
23.676, 1906, Jun Average, Afghanistan, AFG
24.8869, 1906, Jul Average, Afghanistan, AFG
24.9104, 1906, Aug Average, Afghanistan, AFG
18.7982, 1906, Sep Average, Afghanistan, AFG
14.2315, 1906, Oct Average, Afghanistan, AFG
7.80828, 1906, Nov Average, Afghanistan, AFG
4.07322, 1906, Dec Average, Afghanistan, AFG
0.95404, 1907, Jan Average, Afghanistan, AFG
0.54133, 1907, Feb Average, Afghanistan, AFG
6.55103, 1907, Mar Average, Afghanistan, AFG
13.4165, 1907, Apr Average, Afghanistan, AFG
16.2032, 1907, May Average, Afghanistan, AFG
21.2821, 1907, Jun Average, Afghanistan, AFG
25.2362, 1907, Jul Average, Afghanistan, AFG
23.3621, 1907, Aug Average, Afghanistan, AFG
18.7366, 1907, Sep Average, Afghanistan, AFG
10.957, 1907, Oct Average, Afghanistan, AFG
5.72489, 1907, Nov Average, Afghanistan, AFG
2.58663, 1907, Dec Average, Afghanistan, AFG
0.89113, 1908, Jan Average, Afghanistan, AFG
1.72961, 1908, Feb Average, Afghanistan, AFG
5.89961, 1908, Mar Average, Afghanistan, AFG
12.6312, 1908, Apr Average, Afghanistan, AFG
17.0839, 1908, May Average, Afghanistan, AFG
23.1196, 1908, Jun Average, Afghanistan, AFG
25.6291, 1908, Jul Average, Afghanistan, AFG
23.5242, 1908, Aug Average, Afghanistan, AFG
18.6603, 1908, Sep Average, Afghanistan, AFG
11.1287, 1908, Oct Average, Afghanistan, AFG
7.77281, 1908, Nov Average, Afghanistan, AFG
2.14394, 1908, Dec Average, Afghanistan, AFG
-1.9607, 1909, Jan Average, Afghanistan, AFG
1.97504, 1909, Feb Average, Afghanistan, AFG
8.01813, 1909, Mar Average, Afghanistan, AFG
14.3704, 1909, Apr Average, Afghanistan, AFG
17.9139, 1909, May Average, Afghanistan, AFG
23.0186, 1909, Jun Average, Afghanistan, AFG
24.5037, 1909, Jul Average, Afghanistan, AFG
24.1599, 1909, Aug Average, Afghanistan, AFG
18.4832, 1909, Sep Average, Afghanistan, AFG
12.4297, 1909, Oct Average, Afghanistan, AFG
10.0068, 1909, Nov Average, Afghanistan, AFG
3.5712, 1909, Dec Average, Afghanistan, AFG
1.04241, 1910, Jan Average, Afghanistan, AFG
2.96156, 1910, Feb Average, Afghanistan, AFG
5.65151, 1910, Mar Average, Afghanistan, AFG
11.7662, 1910, Apr Average, Afghanistan, AFG
19.1984, 1910, May Average, Afghanistan, AFG
22.6802, 1910, Jun Average, Afghanistan, AFG
25.3766, 1910, Jul Average, Afghanistan, AFG
23.9357, 1910, Aug Average, Afghanistan, AFG
18.6236, 1910, Sep Average, Afghanistan, AFG
12.7016, 1910, Oct Average, Afghanistan, AFG
6.12208, 1910, Nov Average, Afghanistan, AFG
-1.6246, 1910, Dec Average, Afghanistan, AFG
-1.4419, 1911, Jan Average, Afghanistan, AFG
2.69836, 1911, Feb Average, Afghanistan, AFG
5.84496, 1911, Mar Average, Afghanistan, AFG
12.3191, 1911, Apr Average, Afghanistan, AFG
18.5121, 1911, May Average, Afghanistan, AFG
24.0199, 1911, Jun Average, Afghanistan, AFG
24.7058, 1911, Jul Average, Afghanistan, AFG
23.9029, 1911, Aug Average, Afghanistan, AFG
19.3291, 1911, Sep Average, Afghanistan, AFG
11.9074, 1911, Oct Average, Afghanistan, AFG
5.03117, 1911, Nov Average, Afghanistan, AFG
0.7575, 1911, Dec Average, Afghanistan, AFG
0.20657, 1912, Jan Average, Afghanistan, AFG
4.51682, 1912, Feb Average, Afghanistan, AFG
6.97458, 1912, Mar Average, Afghanistan, AFG
13.4259, 1912, Apr Average, Afghanistan, AFG
17.8097, 1912, May Average, Afghanistan, AFG
23.4667, 1912, Jun Average, Afghanistan, AFG
25.6621, 1912, Jul Average, Afghanistan, AFG
23.0913, 1912, Aug Average, Afghanistan, AFG
17.2516, 1912, Sep Average, Afghanistan, AFG
14.0555, 1912, Oct Average, Afghanistan, AFG
6.19291, 1912, Nov Average, Afghanistan, AFG
1.95412, 1912, Dec Average, Afghanistan, AFG
1.78683, 1913, Jan Average, Afghanistan, AFG
0.31869, 1913, Feb Average, Afghanistan, AFG
4.81165, 1913, Mar Average, Afghanistan, AFG
11.2499, 1913, Apr Average, Afghanistan, AFG
19.3722, 1913, May Average, Afghanistan, AFG
22.7504, 1913, Jun Average, Afghanistan, AFG
25.8507, 1913, Jul Average, Afghanistan, AFG
23.1671, 1913, Aug Average, Afghanistan, AFG
18.889, 1913, Sep Average, Afghanistan, AFG
13.3766, 1913, Oct Average, Afghanistan, AFG
6.9908, 1913, Nov Average, Afghanistan, AFG
3.99676, 1913, Dec Average, Afghanistan, AFG
4.26484, 1914, Jan Average, Afghanistan, AFG
1.95483, 1914, Feb Average, Afghanistan, AFG
7.83049, 1914, Mar Average, Afghanistan, AFG
13.4463, 1914, Apr Average, Afghanistan, AFG
18.1807, 1914, May Average, Afghanistan, AFG
25.0416, 1914, Jun Average, Afghanistan, AFG
25.4941, 1914, Jul Average, Afghanistan, AFG
23.853, 1914, Aug Average, Afghanistan, AFG
20.2242, 1914, Sep Average, Afghanistan, AFG
13.3696, 1914, Oct Average, Afghanistan, AFG
7.29, 1914, Nov Average, Afghanistan, AFG
0.16563, 1914, Dec Average, Afghanistan, AFG
2.17716, 1915, Jan Average, Afghanistan, AFG
1.73076, 1915, Feb Average, Afghanistan, AFG
11.0812, 1915, Mar Average, Afghanistan, AFG
13.0311, 1915, Apr Average, Afghanistan, AFG
20.6628, 1915, May Average, Afghanistan, AFG
24.0457, 1915, Jun Average, Afghanistan, AFG
24.7547, 1915, Jul Average, Afghanistan, AFG
25.1417, 1915, Aug Average, Afghanistan, AFG
20.8041, 1915, Sep Average, Afghanistan, AFG
13.2896, 1915, Oct Average, Afghanistan, AFG
8.61782, 1915, Nov Average, Afghanistan, AFG
3.55279, 1915, Dec Average, Afghanistan, AFG
2.21516, 1916, Jan Average, Afghanistan, AFG
0.16968, 1916, Feb Average, Afghanistan, AFG
7.9499, 1916, Mar Average, Afghanistan, AFG
13.765, 1916, Apr Average, Afghanistan, AFG
17.9535, 1916, May Average, Afghanistan, AFG
21.5771, 1916, Jun Average, Afghanistan, AFG
24.8579, 1916, Jul Average, Afghanistan, AFG
25.2811, 1916, Aug Average, Afghanistan, AFG
19.0772, 1916, Sep Average, Afghanistan, AFG
11.8959, 1916, Oct Average, Afghanistan, AFG
3.06921, 1916, Nov Average, Afghanistan, AFG
2.21216, 1916, Dec Average, Afghanistan, AFG
3.66533, 1917, Jan Average, Afghanistan, AFG
5.1662, 1917, Feb Average, Afghanistan, AFG
7.6072, 1917, Mar Average, Afghanistan, AFG
13.3005, 1917, Apr Average, Afghanistan, AFG
20.0134, 1917, May Average, Afghanistan, AFG
22.718, 1917, Jun Average, Afghanistan, AFG
24.6802, 1917, Jul Average, Afghanistan, AFG
23.6763, 1917, Aug Average, Afghanistan, AFG
18.5874, 1917, Sep Average, Afghanistan, AFG
11.4491, 1917, Oct Average, Afghanistan, AFG
5.55267, 1917, Nov Average, Afghanistan, AFG
1.0589, 1917, Dec Average, Afghanistan, AFG
0.11596, 1918, Jan Average, Afghanistan, AFG
2.2606, 1918, Feb Average, Afghanistan, AFG
5.70592, 1918, Mar Average, Afghanistan, AFG
10.7685, 1918, Apr Average, Afghanistan, AFG
19.0731, 1918, May Average, Afghanistan, AFG
22.4332, 1918, Jun Average, Afghanistan, AFG
25.5029, 1918, Jul Average, Afghanistan, AFG
23.5825, 1918, Aug Average, Afghanistan, AFG
18.7125, 1918, Sep Average, Afghanistan, AFG
12.9749, 1918, Oct Average, Afghanistan, AFG
5.47625, 1918, Nov Average, Afghanistan, AFG
-0.0874, 1918, Dec Average, Afghanistan, AFG
-2.424, 1919, Jan Average, Afghanistan, AFG
0.86878, 1919, Feb Average, Afghanistan, AFG
6.30234, 1919, Mar Average, Afghanistan, AFG
13.188, 1919, Apr Average, Afghanistan, AFG
17.0163, 1919, May Average, Afghanistan, AFG
23.2106, 1919, Jun Average, Afghanistan, AFG
25.3194, 1919, Jul Average, Afghanistan, AFG
23.5375, 1919, Aug Average, Afghanistan, AFG
17.5599, 1919, Sep Average, Afghanistan, AFG
12.6696, 1919, Oct Average, Afghanistan, AFG
6.52312, 1919, Nov Average, Afghanistan, AFG
2.09914, 1919, Dec Average, Afghanistan, AFG
1.24201, 1920, Jan Average, Afghanistan, AFG
-1.5271, 1920, Feb Average, Afghanistan, AFG
7.17823, 1920, Mar Average, Afghanistan, AFG
10.5586, 1920, Apr Average, Afghanistan, AFG
15.8633, 1920, May Average, Afghanistan, AFG
21.8826, 1920, Jun Average, Afghanistan, AFG
24.2997, 1920, Jul Average, Afghanistan, AFG
22.8483, 1920, Aug Average, Afghanistan, AFG
19.1789, 1920, Sep Average, Afghanistan, AFG
13.7004, 1920, Oct Average, Afghanistan, AFG
4.75076, 1920, Nov Average, Afghanistan, AFG
-1.193, 1920, Dec Average, Afghanistan, AFG
0.58892, 1921, Jan Average, Afghanistan, AFG
1.32141, 1921, Feb Average, Afghanistan, AFG
6.04069, 1921, Mar Average, Afghanistan, AFG
14.2156, 1921, Apr Average, Afghanistan, AFG
17.0127, 1921, May Average, Afghanistan, AFG
22.3635, 1921, Jun Average, Afghanistan, AFG
25.2069, 1921, Jul Average, Afghanistan, AFG
22.3374, 1921, Aug Average, Afghanistan, AFG
18.1554, 1921, Sep Average, Afghanistan, AFG
12.6434, 1921, Oct Average, Afghanistan, AFG
6.57691, 1921, Nov Average, Afghanistan, AFG
3.23899, 1921, Dec Average, Afghanistan, AFG
1.50089, 1922, Jan Average, Afghanistan, AFG
2.13586, 1922, Feb Average, Afghanistan, AFG
8.02902, 1922, Mar Average, Afghanistan, AFG
13.6453, 1922, Apr Average, Afghanistan, AFG
17.5131, 1922, May Average, Afghanistan, AFG
22.6172, 1922, Jun Average, Afghanistan, AFG
24.9335, 1922, Jul Average, Afghanistan, AFG
23.4969, 1922, Aug Average, Afghanistan, AFG
18.9098, 1922, Sep Average, Afghanistan, AFG
13.1874, 1922, Oct Average, Afghanistan, AFG
7.64299, 1922, Nov Average, Afghanistan, AFG
3.44298, 1922, Dec Average, Afghanistan, AFG
0.27177, 1923, Jan Average, Afghanistan, AFG
1.86322, 1923, Feb Average, Afghanistan, AFG
7.88737, 1923, Mar Average, Afghanistan, AFG
12.0219, 1923, Apr Average, Afghanistan, AFG
17.227, 1923, May Average, Afghanistan, AFG
22.8445, 1923, Jun Average, Afghanistan, AFG
23.8005, 1923, Jul Average, Afghanistan, AFG
23.8662, 1923, Aug Average, Afghanistan, AFG
16.5319, 1923, Sep Average, Afghanistan, AFG
12.3703, 1923, Oct Average, Afghanistan, AFG
5.09865, 1923, Nov Average, Afghanistan, AFG
0.25934, 1923, Dec Average, Afghanistan, AFG
0.60776, 1924, Jan Average, Afghanistan, AFG
2.38092, 1924, Feb Average, Afghanistan, AFG
8.05032, 1924, Mar Average, Afghanistan, AFG
12.4283, 1924, Apr Average, Afghanistan, AFG
15.1114, 1924, May Average, Afghanistan, AFG
21.83, 1924, Jun Average, Afghanistan, AFG
24.9305, 1924, Jul Average, Afghanistan, AFG
23.7812, 1924, Aug Average, Afghanistan, AFG
17.7845, 1924, Sep Average, Afghanistan, AFG
12.8494, 1924, Oct Average, Afghanistan, AFG
6.24679, 1924, Nov Average, Afghanistan, AFG
1.1283, 1924, Dec Average, Afghanistan, AFG
-2.1113, 1925, Jan Average, Afghanistan, AFG
-1.2167, 1925, Feb Average, Afghanistan, AFG
9.17466, 1925, Mar Average, Afghanistan, AFG
13.7892, 1925, Apr Average, Afghanistan, AFG
18.751, 1925, May Average, Afghanistan, AFG
23.5608, 1925, Jun Average, Afghanistan, AFG
25.4384, 1925, Jul Average, Afghanistan, AFG
23.6203, 1925, Aug Average, Afghanistan, AFG
18.9698, 1925, Sep Average, Afghanistan, AFG
13.7362, 1925, Oct Average, Afghanistan, AFG
6.12968, 1925, Nov Average, Afghanistan, AFG
4.87732, 1925, Dec Average, Afghanistan, AFG
1.63806, 1926, Jan Average, Afghanistan, AFG
3.49584, 1926, Feb Average, Afghanistan, AFG
7.56725, 1926, Mar Average, Afghanistan, AFG
10.4079, 1926, Apr Average, Afghanistan, AFG
18.1209, 1926, May Average, Afghanistan, AFG
22.3607, 1926, Jun Average, Afghanistan, AFG
24.899, 1926, Jul Average, Afghanistan, AFG
25.0404, 1926, Aug Average, Afghanistan, AFG
19.5919, 1926, Sep Average, Afghanistan, AFG
12.7845, 1926, Oct Average, Afghanistan, AFG
3.34227, 1926, Nov Average, Afghanistan, AFG
3.17395, 1926, Dec Average, Afghanistan, AFG
-2.055, 1927, Jan Average, Afghanistan, AFG
0.69614, 1927, Feb Average, Afghanistan, AFG
5.23632, 1927, Mar Average, Afghanistan, AFG
13.3358, 1927, Apr Average, Afghanistan, AFG
18.331, 1927, May Average, Afghanistan, AFG
23.0598, 1927, Jun Average, Afghanistan, AFG
25.9664, 1927, Jul Average, Afghanistan, AFG
24.2059, 1927, Aug Average, Afghanistan, AFG
19.3315, 1927, Sep Average, Afghanistan, AFG
15.0826, 1927, Oct Average, Afghanistan, AFG
6.45339, 1927, Nov Average, Afghanistan, AFG
2.8792, 1927, Dec Average, Afghanistan, AFG
-1.7616, 1928, Jan Average, Afghanistan, AFG
2.05356, 1928, Feb Average, Afghanistan, AFG
4.67113, 1928, Mar Average, Afghanistan, AFG
13.5359, 1928, Apr Average, Afghanistan, AFG
18.8731, 1928, May Average, Afghanistan, AFG
23.1555, 1928, Jun Average, Afghanistan, AFG
23.9512, 1928, Jul Average, Afghanistan, AFG
22.4147, 1928, Aug Average, Afghanistan, AFG
17.37, 1928, Sep Average, Afghanistan, AFG
12.7152, 1928, Oct Average, Afghanistan, AFG
7.17005, 1928, Nov Average, Afghanistan, AFG
1.52405, 1928, Dec Average, Afghanistan, AFG
-3.6137, 1929, Jan Average, Afghanistan, AFG
0.04578, 1929, Feb Average, Afghanistan, AFG
8.4222, 1929, Mar Average, Afghanistan, AFG
15.1786, 1929, Apr Average, Afghanistan, AFG
17.843, 1929, May Average, Afghanistan, AFG
22.2441, 1929, Jun Average, Afghanistan, AFG
24.4163, 1929, Jul Average, Afghanistan, AFG
22.6401, 1929, Aug Average, Afghanistan, AFG
20.1429, 1929, Sep Average, Afghanistan, AFG
11.7487, 1929, Oct Average, Afghanistan, AFG
5.92879, 1929, Nov Average, Afghanistan, AFG
-2.6765, 1929, Dec Average, Afghanistan, AFG
-5.4983, 1930, Jan Average, Afghanistan, AFG
-0.3035, 1930, Feb Average, Afghanistan, AFG
6.88796, 1930, Mar Average, Afghanistan, AFG
11.7176, 1930, Apr Average, Afghanistan, AFG
17.9507, 1930, May Average, Afghanistan, AFG
23.3231, 1930, Jun Average, Afghanistan, AFG
25.7122, 1930, Jul Average, Afghanistan, AFG
23.2157, 1930, Aug Average, Afghanistan, AFG
17.4856, 1930, Sep Average, Afghanistan, AFG
12.5825, 1930, Oct Average, Afghanistan, AFG
8.11471, 1930, Nov Average, Afghanistan, AFG
0.55697, 1930, Dec Average, Afghanistan, AFG
0.18633, 1931, Jan Average, Afghanistan, AFG
-2.6327, 1931, Feb Average, Afghanistan, AFG
7.64379, 1931, Mar Average, Afghanistan, AFG
14.2446, 1931, Apr Average, Afghanistan, AFG
16.545, 1931, May Average, Afghanistan, AFG
21.5451, 1931, Jun Average, Afghanistan, AFG
24.2599, 1931, Jul Average, Afghanistan, AFG
24.5102, 1931, Aug Average, Afghanistan, AFG
19.5723, 1931, Sep Average, Afghanistan, AFG
12.7591, 1931, Oct Average, Afghanistan, AFG
5.60332, 1931, Nov Average, Afghanistan, AFG
1.27799, 1931, Dec Average, Afghanistan, AFG
0.63495, 1932, Jan Average, Afghanistan, AFG
2.71495, 1932, Feb Average, Afghanistan, AFG
8.15216, 1932, Mar Average, Afghanistan, AFG
14.8527, 1932, Apr Average, Afghanistan, AFG
16.8344, 1932, May Average, Afghanistan, AFG
22.7501, 1932, Jun Average, Afghanistan, AFG
25.4726, 1932, Jul Average, Afghanistan, AFG
22.5658, 1932, Aug Average, Afghanistan, AFG
19.0288, 1932, Sep Average, Afghanistan, AFG
11.8948, 1932, Oct Average, Afghanistan, AFG
5.62468, 1932, Nov Average, Afghanistan, AFG
-1.4281, 1932, Dec Average, Afghanistan, AFG
-3.0645, 1933, Jan Average, Afghanistan, AFG
2.96393, 1933, Feb Average, Afghanistan, AFG
5.4081, 1933, Mar Average, Afghanistan, AFG
11.854, 1933, Apr Average, Afghanistan, AFG
18.6674, 1933, May Average, Afghanistan, AFG
22.8752, 1933, Jun Average, Afghanistan, AFG
25.933, 1933, Jul Average, Afghanistan, AFG
23.6693, 1933, Aug Average, Afghanistan, AFG
18.1718, 1933, Sep Average, Afghanistan, AFG
12.493, 1933, Oct Average, Afghanistan, AFG
7.33607, 1933, Nov Average, Afghanistan, AFG
3.55236, 1933, Dec Average, Afghanistan, AFG
-4.8483, 1934, Jan Average, Afghanistan, AFG
4.53424, 1934, Feb Average, Afghanistan, AFG
6.77267, 1934, Mar Average, Afghanistan, AFG
12.21, 1934, Apr Average, Afghanistan, AFG
15.3134, 1934, May Average, Afghanistan, AFG
23.1446, 1934, Jun Average, Afghanistan, AFG
24.7089, 1934, Jul Average, Afghanistan, AFG
24.3148, 1934, Aug Average, Afghanistan, AFG
18.2132, 1934, Sep Average, Afghanistan, AFG
11.8668, 1934, Oct Average, Afghanistan, AFG
5.13415, 1934, Nov Average, Afghanistan, AFG
2.91487, 1934, Dec Average, Afghanistan, AFG
-3.1749, 1935, Jan Average, Afghanistan, AFG
3.40372, 1935, Feb Average, Afghanistan, AFG
7.33223, 1935, Mar Average, Afghanistan, AFG
11.8209, 1935, Apr Average, Afghanistan, AFG
17.1423, 1935, May Average, Afghanistan, AFG
21.042, 1935, Jun Average, Afghanistan, AFG
24.8838, 1935, Jul Average, Afghanistan, AFG
24.2863, 1935, Aug Average, Afghanistan, AFG
18.5262, 1935, Sep Average, Afghanistan, AFG
12.7056, 1935, Oct Average, Afghanistan, AFG
5.13568, 1935, Nov Average, Afghanistan, AFG
1.69046, 1935, Dec Average, Afghanistan, AFG
-1.377, 1936, Jan Average, Afghanistan, AFG
3.61339, 1936, Feb Average, Afghanistan, AFG
5.18336, 1936, Mar Average, Afghanistan, AFG
12.2646, 1936, Apr Average, Afghanistan, AFG
19.9217, 1936, May Average, Afghanistan, AFG
23.7605, 1936, Jun Average, Afghanistan, AFG
24.9671, 1936, Jul Average, Afghanistan, AFG
23.4601, 1936, Aug Average, Afghanistan, AFG
19.8333, 1936, Sep Average, Afghanistan, AFG
14.7931, 1936, Oct Average, Afghanistan, AFG
6.28059, 1936, Nov Average, Afghanistan, AFG
0.8128, 1936, Dec Average, Afghanistan, AFG
-2.2414, 1937, Jan Average, Afghanistan, AFG
2.7211, 1937, Feb Average, Afghanistan, AFG
4.95076, 1937, Mar Average, Afghanistan, AFG
10.8898, 1937, Apr Average, Afghanistan, AFG
18.2891, 1937, May Average, Afghanistan, AFG
23.3773, 1937, Jun Average, Afghanistan, AFG
25.4416, 1937, Jul Average, Afghanistan, AFG
24.3876, 1937, Aug Average, Afghanistan, AFG
19.2397, 1937, Sep Average, Afghanistan, AFG
12.1497, 1937, Oct Average, Afghanistan, AFG
5.32412, 1937, Nov Average, Afghanistan, AFG
0.70613, 1937, Dec Average, Afghanistan, AFG
0.79394, 1938, Jan Average, Afghanistan, AFG
2.77639, 1938, Feb Average, Afghanistan, AFG
6.21646, 1938, Mar Average, Afghanistan, AFG
14.3674, 1938, Apr Average, Afghanistan, AFG
20.6008, 1938, May Average, Afghanistan, AFG
22.2836, 1938, Jun Average, Afghanistan, AFG
24.3969, 1938, Jul Average, Afghanistan, AFG
23.846, 1938, Aug Average, Afghanistan, AFG
18.7434, 1938, Sep Average, Afghanistan, AFG
12.7521, 1938, Oct Average, Afghanistan, AFG
5.12986, 1938, Nov Average, Afghanistan, AFG
2.20074, 1938, Dec Average, Afghanistan, AFG
1.1556, 1939, Jan Average, Afghanistan, AFG
2.03543, 1939, Feb Average, Afghanistan, AFG
5.09357, 1939, Mar Average, Afghanistan, AFG
10.0518, 1939, Apr Average, Afghanistan, AFG
17.6742, 1939, May Average, Afghanistan, AFG
24.4846, 1939, Jun Average, Afghanistan, AFG
25.1596, 1939, Jul Average, Afghanistan, AFG
23.7335, 1939, Aug Average, Afghanistan, AFG
19.7633, 1939, Sep Average, Afghanistan, AFG
13.3526, 1939, Oct Average, Afghanistan, AFG
7.68502, 1939, Nov Average, Afghanistan, AFG
4.869, 1939, Dec Average, Afghanistan, AFG
2.11452, 1940, Jan Average, Afghanistan, AFG
4.17434, 1940, Feb Average, Afghanistan, AFG
5.67578, 1940, Mar Average, Afghanistan, AFG
13.2806, 1940, Apr Average, Afghanistan, AFG
18.2911, 1940, May Average, Afghanistan, AFG
23.9365, 1940, Jun Average, Afghanistan, AFG
25.8139, 1940, Jul Average, Afghanistan, AFG
23.2111, 1940, Aug Average, Afghanistan, AFG
19.1622, 1940, Sep Average, Afghanistan, AFG
14.7078, 1940, Oct Average, Afghanistan, AFG
8.02228, 1940, Nov Average, Afghanistan, AFG
3.69792, 1940, Dec Average, Afghanistan, AFG
0.27641, 1941, Jan Average, Afghanistan, AFG
5.4479, 1941, Feb Average, Afghanistan, AFG
9.99832, 1941, Mar Average, Afghanistan, AFG
14.4327, 1941, Apr Average, Afghanistan, AFG
19.9822, 1941, May Average, Afghanistan, AFG
24.3181, 1941, Jun Average, Afghanistan, AFG
24.8854, 1941, Jul Average, Afghanistan, AFG
24.6843, 1941, Aug Average, Afghanistan, AFG
19.0573, 1941, Sep Average, Afghanistan, AFG
15.8634, 1941, Oct Average, Afghanistan, AFG
7.49161, 1941, Nov Average, Afghanistan, AFG
3.13308, 1941, Dec Average, Afghanistan, AFG
0.7282, 1942, Jan Average, Afghanistan, AFG
1.21574, 1942, Feb Average, Afghanistan, AFG
8.65851, 1942, Mar Average, Afghanistan, AFG
13.5724, 1942, Apr Average, Afghanistan, AFG
18.9535, 1942, May Average, Afghanistan, AFG
22.8885, 1942, Jun Average, Afghanistan, AFG
25.3868, 1942, Jul Average, Afghanistan, AFG
23.1434, 1942, Aug Average, Afghanistan, AFG
18.4882, 1942, Sep Average, Afghanistan, AFG
14.0305, 1942, Oct Average, Afghanistan, AFG
9.27713, 1942, Nov Average, Afghanistan, AFG
1.34136, 1942, Dec Average, Afghanistan, AFG
-0.903, 1943, Jan Average, Afghanistan, AFG
1.9381, 1943, Feb Average, Afghanistan, AFG
5.80092, 1943, Mar Average, Afghanistan, AFG
11.8163, 1943, Apr Average, Afghanistan, AFG
17.2108, 1943, May Average, Afghanistan, AFG
22.1766, 1943, Jun Average, Afghanistan, AFG
25.272, 1943, Jul Average, Afghanistan, AFG
24.0627, 1943, Aug Average, Afghanistan, AFG
18.8433, 1943, Sep Average, Afghanistan, AFG
12.3343, 1943, Oct Average, Afghanistan, AFG
6.61902, 1943, Nov Average, Afghanistan, AFG
4.4004, 1943, Dec Average, Afghanistan, AFG
1.50451, 1944, Jan Average, Afghanistan, AFG
3.32644, 1944, Feb Average, Afghanistan, AFG
10.1751, 1944, Mar Average, Afghanistan, AFG
13.2066, 1944, Apr Average, Afghanistan, AFG
19.3196, 1944, May Average, Afghanistan, AFG
23.2703, 1944, Jun Average, Afghanistan, AFG
26.6997, 1944, Jul Average, Afghanistan, AFG
23.9783, 1944, Aug Average, Afghanistan, AFG
18.1922, 1944, Sep Average, Afghanistan, AFG
12.8157, 1944, Oct Average, Afghanistan, AFG
7.2332, 1944, Nov Average, Afghanistan, AFG
-2.0469, 1944, Dec Average, Afghanistan, AFG
-1.4945, 1945, Jan Average, Afghanistan, AFG
0.511, 1945, Feb Average, Afghanistan, AFG
6.59818, 1945, Mar Average, Afghanistan, AFG
12.1952, 1945, Apr Average, Afghanistan, AFG
16.9989, 1945, May Average, Afghanistan, AFG
22.9502, 1945, Jun Average, Afghanistan, AFG
24.816, 1945, Jul Average, Afghanistan, AFG
24.6122, 1945, Aug Average, Afghanistan, AFG
19.6957, 1945, Sep Average, Afghanistan, AFG
13.5077, 1945, Oct Average, Afghanistan, AFG
6.88738, 1945, Nov Average, Afghanistan, AFG
